Org,Repo,Date,Clones count,Clones unique
usdot-jpo-ode,asn1_codec,2023-04-01,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-04-01,2,2
usdot-jpo-ode,jpo-cvdp,2023-04-01,1,1
usdot-jpo-ode,jpo-ode,2023-04-01,3,3
usdot-jpo-ode,jpo-s3-deposit,2023-04-01,1,1
usdot-jpo-ode,jpo-sdw-depositor,2023-04-01,1,1
usdot-jpo-ode,jpo-security-svcs,2023-04-01,1,1
usdot-jpo-ode,ode-output-validator-library,2023-04-01,1,1
usdot-jpo-ode,scms-asn1,2023-04-01,1,1
usdot-jpo-ode,jpo-cvdp,2023-04-02,1,1
usdot-jpo-ode,jpo-ode,2023-04-02,2,2
usdot-jpo-ode,jpo-ode-scms-asn,2023-04-02,1,1
usdot-jpo-ode,jpo-ode,2023-04-03,2,2
usdot-jpo-ode,jpo-s3-deposit,2023-04-03,1,1
usdot-jpo-ode,jpo-security-svcs,2023-04-03,1,1
usdot-jpo-ode,asn1_codec,2023-04-04,2,2
usdot-jpo-ode,jpo-conflictvisualizer,2023-04-04,3,3
usdot-jpo-ode,jpo-cvdp,2023-04-04,1,1
usdot-jpo-ode,jpo-ode,2023-04-04,1,1
usdot-jpo-ode,jpo-security-svcs,2023-04-04,2,1
usdot-jpo-ode,wzdx,2023-04-04,2,2
usdot-jpo-ode,jpo-conflictmonitor,2023-04-05,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-04-05,1,1
usdot-jpo-ode,jpo-ode,2023-04-05,1,1
usdot-jpo-ode,jpo-security,2023-04-05,1,1
usdot-jpo-ode,asn1_codec,2023-04-06,1,1
usdot-jpo-ode,jpo-security-svcs,2023-04-06,2,1
usdot-jpo-ode,TDx,2023-04-07,2,1
usdot-jpo-ode,asn1_codec,2023-04-07,2,1
usdot-jpo-ode,jpo-conflictmonitor,2023-04-07,2,1
usdot-jpo-ode,jpo-conflictvisualizer,2023-04-07,2,1
usdot-jpo-ode,jpo-cvdp,2023-04-07,2,1
usdot-jpo-ode,jpo-cvmanager,2023-04-07,2,1
usdot-jpo-ode,jpo-geojsonconverter,2023-04-07,2,1
usdot-jpo-ode,jpo-ode,2023-04-07,2,1
usdot-jpo-ode,jpo-ode-scms-asn,2023-04-07,2,1
usdot-jpo-ode,jpo-record-parser,2023-04-07,2,1
usdot-jpo-ode,jpo-s3-deposit,2023-04-07,2,1
usdot-jpo-ode,jpo-sdw-depositor,2023-04-07,2,1
usdot-jpo-ode,jpo-security,2023-04-07,2,1
usdot-jpo-ode,jpo-security-svcs,2023-04-07,3,2
usdot-jpo-ode,jpo-tim-builder,2023-04-07,2,1
usdot-jpo-ode,ode-output-validator-library,2023-04-07,2,1
usdot-jpo-ode,scms-asn1,2023-04-07,2,1
usdot-jpo-ode,usdot-jpo-ode.github.io,2023-04-07,2,1
usdot-jpo-ode,wzdc-tool,2023-04-07,2,1
usdot-jpo-ode,wzdx,2023-04-07,2,1
